Graph Name,metis_Edgecut,mt_Edgecut,parmetis_Edgecut,ptscotch_Edgecut,mt_KaHip_Edgecut,Kaminpar_Edgecut,jet_Edgecut
af_shell1,1.0513392857142858,1.0446428571428572,1.0915178571428572,1.0083705357142858,1.0340401785714286,1.0948660714285714,0.98828125
Hook_1498,1.0486003045825834,1.065895057455351,1.117455350962204,1.0873764363837741,1.1536896026581753,1.1845853523466703,0.978659836632978
Geo_1438,1.200333163852391,1.148523285789469,1.2356766303620648,1.1724156386309508,1.211171024110894,1.2644348702578787,1.0124858394212672
Serena,1.1298486426864391,1.128289451287184,1.1730038605306699,1.1295728904957412,1.1834211655125926,1.184975250389798,1.004083515465953
audikw_1,1.0348671947352082,1.0349994956845001,1.0706604961154607,1.0295974252401394,1.088142560167459,1.0910178134713804,1.0014867482915493
channel-500x100x100-b050,1.0819348328802678,1.1420110393638216,1.1327753623809809,0.9753429434682811,1.2185948393403823,1.179376799041845,0.9935284516591918
Long_Coup_dt0,1.1084399195790735,1.1034777773024769,1.11360428081992,1.1107109941006506,1.1596479834491555,1.199582340062299,0.9996461168125624
Cube_Coup_dt6,1.062976460693971,1.0594333565440717,1.110342644758141,1.0551866957253053,1.1403948237038912,1.1033287816170951,1.014769264159304
dielFilterV3real,1.062976460693971,1.0594333565440717,1.110342644758141,1.0551866957253053,1.1403948237038912,1.1033287816170951,1.014769264159304
ML_Geer,1.0570377184912603,1.0871318571914657,1.0755661554359743,1.0388400902320072,1.0550717697319505,1.0671352597950876,0.9903246335899989
Flan_1565,1.0564091635588706,1.0669003729355355,1.0649589770911028,0.9927906233351093,1.0825892381459776,1.0894107618540223,0.9890356952583911
Bump_2911,1.1074479965467994,1.1026782200100516,1.145274902273213,1.091009827608131,1.2126607550502626,1.1979993581475896,1.0048978010067222
Cube_Coup_dt0,1.1140194455241768,1.0809089631955404,1.0813855776299766,1.0892803122040013,1.1598847506651486,1.1378768852341745,0.9948279146093097
Cube_Coup_dt6,1.1162890315983653,1.0798750850672074,1.0835886788933144,1.0896893362857845,1.1467854095489451,1.1832468555360185,0.9966145842329442
HV15R,1.130432528073349,1.1415235894598015,1.1216098871084965,1.092717706491968,1.2987472382091112,1.1463446687593128,0.9955298289877681
Queen_4147,1.0564078667245336,1.0697222148335925,1.0305236076819453,0.97535411270395,1.0906196538821675,1.0775702863507393,0.9714649250899571
Geomean,1.0879138059390292,1.0879178073928695,1.108940251794099,1.0606919083475357,1.1465904241340261,1.1427560805689632,0.9968311441090949
