metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
15199306.049822064,24546005.747126438,46173027.027027026,145594170.7857508,5281909.696887251,10820669.963618675,8559128.256513026,162735949.70470566
10561575.186633488,49025925.74257426,68613651.27020785,351427856.63591194,3560287.7258156324,22800306.207023576,18959611.359285258,344660220.4176334
9323070.996978851,51346697.171381034,67822780.21978022,382253994.79747313,3735819.693961552,28621719.00795786,9777999.049429657,390872260.9246358
10193792.702615434,48494894.00921659,66184855.34591195,333863959.39086294,2715153.516693328,27708935.796726204,10028645.489199491,414851195.7950066
13620055.397727273,67170010.50788091,36737620.68965517,505790267.7040749,2257011.6457662727,59880432.96680306,5881624.904155805,514958055.85392046
7151704.423592493,38660663.04347826,98344175.11520737,296955207.6810687,5681146.202286494,6383387.5734335175,32781391.705069125,278872081.0192747
11607760.303687636,65658619.63190184,73936822.10708117,454307757.6143479,3292297.8720131665,43353769.935307726,11379431.15364168,520163061.9684083
12771754.523996852,47464619.883040935,26182096.774193548,271317065.01754975,1663479.6687981638,32795724.993433945,5626655.112651646,213338152.18819818
13670675.13949163,65921671.1509716,46966558.04046858,557824411.8391095,2995259.2401418113,48199573.97929351,11704245.753715498,579597818.3729793
14323725.772655841,88923552.84552845,174721996.80511183,653302890.9329828,6637237.744202671,51297718.766708255,12448892.55633963,580613494.0014864
9845423.253442122,31342329.545454547,98337224.10865875,625560265.6874392,4804218.991058542,71482410.9749987,12122357.681038091,581649176.5414742
7684920.576283709,54937711.26760563,105778372.88135593,267139970.892903,4488678.553190877,25176386.10985606,21859628.721541155,554699493.3783664
8666577.765456058,71208077.44874716,100515581.99356914,568060076.3220062,4957710.216639706,48169911.85897436,11543702.3633678,656040839.4543546
7684450.835791544,76524714.81028152,103339986.7768595,547322874.9015144,4977722.470362497,48762004.741997875,11480112.37605582,648689479.1450509
8648922.277860643,52628061.264181525,101727800.12531328,1071596389.6772488,3643997.257310099,167972555.58820242,2639016.4331458667,1118319114.2030582
7890385.943638745,92745773.66020525,132364594.79251423,918554980.2371541,5925621.498561177,91053446.2106795,27675414.596801635,938263277.1946015
