metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
17326592.29208925,43581683.67346939,185695869.5652174,6405658.7502155965,12886228.104978435,28473366.666666668,128586632.54553664,113019449.58983858
10539095.77864491,48308473.17073171,153936326.42487046,4896774.624208861,26270159.072621647,46421423.4375,303129384.7566575,258435203.54906055
11341185.226019846,49934247.57281554,143531930.23255813,4973434.447947087,33031057.968237724,50589122.95081967,295956315.3351875,281872168.4325904
9859517.801374141,49638641.50943396,136667428.57142857,3678243.0283294204,31163184.806428052,49952810.12658228,300639710.50376153,297831849.0566038
15980865.0,43833229.71428572,74618824.90272373,3057977.8828444546,65153116.48512935,9588519.0,366708824.9354623,339266483.8567006
8332950.409996095,38521093.86281589,230710118.9189189,6851833.384436822,30274126.66775427,37838095.74468085,266808601.61280242,225493300.9298394
14054307.288246881,60550806.223479494,150208491.22807017,4427061.595004726,48728078.61251148,65962126.348228045,373131874.8365728,360773807.5172763
5350329.597890574,17069295.47844374,29730586.08058608,1570626.8806904494,19902454.933222827,23356690.647482015,144884862.5490896,134078632.19625011
14535793.671720501,46373920.08412198,80772157.50915751,4267084.458119261,54071057.33899118,63455536.69064748,393623687.96858263,364265284.54613036
14521504.248539565,86394921.01105845,387858049.6453901,7533267.993933491,57131081.435422994,81868241.01796407,504222616.63286006,412117445.3654861
10722070.529433543,76412434.03693931,199039948.45360824,6596949.740942675,81210723.56964388,78271114.86486487,525786356.2091503,411046944.85842025
8296894.442967296,66890932.475884244,175306853.93258426,5760817.471892481,43784589.26454184,64739875.5186722,249447379.99120668,413717202.5190587
9435661.334138243,67516946.00431965,181219397.10144928,6377885.752234327,53381738.38797814,72952966.16102684,427550379.5390823,442530379.3884485
10320351.931330472,69390335.18312986,182809040.93567252,6496358.255853101,53759505.40426666,77858894.14694895,445716774.79147357,456688765.522279
10492281.82758175,69861260.32702237,205515910.12658226,5443235.716153603,178707716.7094657,3125988.081943856,859580522.0245659,730715014.1770557
9220954.937081963,81501045.59118237,192061495.8677686,7180106.68020215,98943567.11452256,97178068.69772999,766580684.2278874,630992153.1360304
