Unnamed: 0,metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
Geomean,524946.3384394923,3578848.7864004374,3578676.1471339017,36828303.260514885,182653.5823147601,5382962.939284844,6682607.260954251,96480226.92666672
Geomean,4995184.661272942,19159650.5786005,15478528.416681277,244362826.2162694,5235955.376984152,5604051.645293732,25458655.486484148,188585279.1153782
Geomean,4733600.115341038,3981806.479192169,8284266.437966483,145956818.72609007,1008870.5376011882,2543992.141810083,9422517.496751526,100127724.60151117
Geomean,10249547.560737832,54745784.69923867,75799073.85361905,443658749.486901,3916139.020000107,37748616.33435075,11326902.037285836,476347191.4811536
Geomean,6407523.650945821,47957686.67670754,54732280.24903548,423848660.9008816,3983621.1962292986,26835651.898088083,35027195.83626143,229863358.356603
Geomean,1537905.8692582052,10312202.52772768,23526110.22164951,204387666.01909944,4084395.884686442,3471325.3861610694,11969750.385577949,36603711.4110855
Geomean,3905652.402957576,15111879.259882132,6011072.402561913,158546853.4208733,2098257.6528105093,42346258.854593776,29396083.047778822,214687584.9282268
Geomean,854255.8641973656,4342694.778144555,1675606.351568309,74311184.73834027,177475.05979215063,874533.1320558396,8396256.378201623,86797922.97541465
Geomean,4471565.747481198,20269134.168558173,4727434.768604906,95408083.80666114,,14811594.09664636,,321378436.2485283
