Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
1,524946.3384394923,3578848.7864004374,3578676.1471339017,44551394.341294855,0,5382962.939284844,6682607.260954251,17448261.481660154
2,4995184.661272942,19159650.5786005,15478528.416681277,159934275.77611747,5235955.376984152,5604051.645293732,25458655.486484148,85558970.47461243
3,4733600.115341038,3981806.479192169,8284266.437966483,0,0,2543992.141810083,9422517.496751526,0
4,10249547.560737832,54745784.69923867,75799073.85361905,309467852.98008144,3916139.020000107,37748616.33435075,11326902.037285836,174634411.74450922
5,6407523.650945821,47957686.67670754,54732280.24903548,271558597.8166454,3983621.1962292986,26835651.898088083,35027195.83626143,20826700.21269179
6,1537905.8692582052,10312202.52772768,23526110.22164951,122203546.4975071,4084395.884686442,3471325.3861610694,11969750.385577949,7577835.29988817
7,3686184.688949069,16682299.79752632,12325648.56576106,124279897.4356787,0,42346258.854593776,29396083.047778822,0
8,893255.784574474,4537867.506573902,1688797.3732207725,46155152.425778784,177475.05979215063,804495.2792945892,6593456.140538584,22000023.15272577
9,4471565.747481198,20269134.168558173,4727434.768604906,83111051.2310695,0,14811594.09664636,0,61103798.04563315
