Graph Name,8-part,32-part,128-part,512-part
Bump_2911,26.066,25.701,24.245,24.214
Cube_Coup_dt0,23.59,22.838,21.513,21.487
Cube_Coup_dt6,23.528,22.836,21.471,21.527
Flan_1565,23.759,22.544,21.625,21.634
Geo_1438,16.027,15.121,14.209,14.215
HV15R,53.189,52.137,51.481,51.541
Hook_1498,17.824,16.713,15.668,15.758
Long_Coup_dt0,18.406,17.619,16.252,16.226
Long_Coup_dt6,18.503,17.666,16.263,16.16
ML_Geer,21.612,20.59,19.638,19.625
Queen_4147,52.858,52.008,50.54,50.598
Serena,16.644,15.828,14.762,14.844
af_shell1,8.755,7.543,6.324,6.265
amazon-2008,12.915,11.529,10.267,10.252
audikw_1,17.643,16.807,15.723,15.723
cage15,40.994,39.869,38.758,38.747
channel-500x100x100-b050,26.19,25.271,24.259,24.186
circuit5M,361.687,364.35,364.401,360.175
com-LiveJournal,94.763,93.688,92.968,92.468
com-Orkut,201.841,202.476,201.013,201.594
delaunay_n23,28.333,27.312,26.79,26.798
delaunay_n24,50.709,49.722,49.219,49.208
dielFilterV3clx,10.745,9.804,8.592,8.557
dielFilterV3real,19.941,18.708,17.79,17.774
europe_osm,131.78,131.554,129.803,129.883
hollywood-2009,73.278,72.296,71.752,72.392
hugebubbles-00000,27.391,26.534,25.555,25.548
hugebubbles-00010,38.858,37.993,37.457,37.437
hugebubbles-00020,42.35,41.564,40.587,40.685
kmer_A2a,476.86,475.845,475.814,475.265
kmer_P1a,405.167,405.027,403.213,403.511
kmer_U1a,156.675,155.864,154.865,154.857
kmer_V1r,595.65,594.748,594.603,594.536
kmer_V2a,146.067,145.284,143.101,143.064
kron_g500-logn20,280.193,281.344,283.876,277.364
kron_g500-logn21,498.603,488.437,493.107,500.006
ljournal-2008,123.727,122.526,122.543,121.418
mycielskian17,84.778,83.026,82.672,80.798
mycielskian18,222.522,217.94,216.72,218.887
nlpkkt120,36.318,35.664,34.937,34.8
nlpkkt160,74.646,74.465,74.459,74.379
nlpkkt200,135.145,134.997,135.452,135.477
rgg_n_2_22_s0,26.925,25.999,24.532,24.588
rgg_n_2_23_s0,48.428,47.672,46.105,46.162
rgg_n_2_24_s0,92.288,91.403,90.423,90.427
road_usa,57.353,56.486,54.932,54.984
soc-LiveJournal1,118.304,117.208,115.922,116.045
soc-Pokec,67.18,66.038,65.525,65.218
stokes,126.543,125.589,124.71,124.424
uk-2002,257.661,262.346,261.09,258.718
vas_stokes_2M,29.876,29.111,27.805,28.142
vas_stokes_4M,53.581,52.259,51.224,51.257
wb-edu,85.763,84.845,83.675,84.198
